"","Site","Date","year","month","variable","val"
"47","AK1",2020-12-01,2020,12,"d18O",-4.36
"48","AK2",2018-01-01,2018,1,"d18O",-3.962105771
"49","AK2",2019-01-01,2019,1,"d18O",-4.542210951
"50","AK2",2020-01-01,2020,1,"d18O",-3.654407164
"51","AK2",2021-01-01,2021,1,"d18O",-4.189560038
"52","AK2",2018-02-01,2018,2,"d18O",-4.800725584
"53","AK2",2019-02-01,2019,2,"d18O",-4.1316881
"54","AK2",2020-02-01,2020,2,"d18O",-3.396398822
"55","AK2",2021-02-01,2021,2,"d18O",-3.625325325
"56","AK2",2018-03-01,2018,3,"d18O",-4.206275162
"57","AK2",2019-03-01,2019,3,"d18O",-3.802742445
"58","AK2",2020-03-02,2020,3,"d18O",-3.066655775
"59","AK2",2017-04-01,2017,4,"d18O",-4.315117884
"60","AK2",2018-04-01,2018,4,"d18O",-3.837562792
"61","AK2",2019-04-01,2019,4,"d18O",-3.656748925
"62","AK2",2017-05-01,2017,5,"d18O",-4.274016399
"63","AK2",2018-05-01,2018,5,"d18O",-4.178404748
"64","AK2",2019-05-01,2019,5,"d18O",-3.706964817
"65","AK2",2020-05-04,2020,5,"d18O",-3.296689097
"66","AK2",2017-06-01,2017,6,"d18O",-4.539127576
"67","AK2",2018-06-01,2018,6,"d18O",-5.296116975
"68","AK2",2019-06-01,2019,6,"d18O",-3.778523778
"69","AK2",2020-06-01,2020,6,"d18O",-4.27897871
"70","AK2",2021-06-01,2021,6,"d18O",-3.97
"71","AK2",2017-07-01,2017,7,"d18O",-4.955248858
"72","AK2",2018-07-01,2018,7,"d18O",-4.605875013
"73","AK2",2019-07-01,2019,7,"d18O",-4.596167081
"74","AK2",2020-07-01,2020,7,"d18O",-4.864215419
"75","AK2",2021-07-01,2021,7,"d18O",-4.25
"76","AK2",2017-08-01,2017,8,"d18O",-4.690019596
"77","AK2",2018-08-01,2018,8,"d18O",-4.711107436
"78","AK2",2019-08-01,2019,8,"d18O",-3.991212477
"79","AK2",2020-08-01,2020,8,"d18O",-4.487034049
"80","AK2",2017-09-01,2017,9,"d18O",-4.8870757
"81","AK2",2018-09-01,2018,9,"d18O",-4.540651997
"82","AK2",2019-09-01,2019,9,"d18O",-4.376233716
"83","AK2",2020-09-01,2020,9,"d18O",-4.732537454
"84","AK2",2017-10-01,2017,10,"d18O",-4.524610786
"85","AK2",2018-10-01,2018,10,"d18O",-4.123373442
"86","AK2",2019-10-01,2019,10,"d18O",-4.199970448
"87","AK2",2020-10-01,2020,10,"d18O",-4.34
"88","AK2",2017-11-01,2017,11,"d18O",-4.275450682
"89","AK2",2018-11-01,2018,11,"d18O",-4.126394744
"90","AK2",2019-11-01,2019,11,"d18O",-4.0966172
"91","AK2",2020-11-01,2020,11,"d18O",-4.257224258
"92","AK2",2017-12-01,2017,12,"d18O",-4.14668903
"93","AK2",2018-12-01,2018,12,"d18O",-3.493765715
"94","AK2",2019-12-01,2019,12,"d18O",-3.846005858
"95","AK2",2020-12-01,2020,12,"d18O",-3.98
"96","AX1",2018-01-01,2018,1,"d18O",-8.281868057
"97","AX1",2019-01-01,2019,1,"d18O",-8.612035645
"98","AX1",2020-01-01,2020,1,"d18O",-8.46729642
"99","AX1",2021-01-01,2021,1,"d18O",-8.573668381
"100","AX1",2018-02-01,2018,2,"d18O",-8.452035297
"101","AX1",2019-02-01,2019,2,"d18O",-8.646854431
"102","AX1",2020-02-01,2020,2,"d18O",-8.449233947
"103","AX1",2021-02-01,2021,2,"d18O",-8.44322741
"104","AX1",2018-03-01,2018,3,"d18O",-8.375082868
"105","AX1",2019-03-01,2019,3,"d18O",-8.509485451
"106","AX1",2020-03-02,2020,3,"d18O",-8.581903462
"107","AX1",2017-04-01,2017,4,"d18O",-8.323506566
"108","AX1",2018-04-01,2018,4,"d18O",-8.222712007
"109","AX1",2019-04-01,2019,4,"d18O",-8.46341668
"110","AX1",2017-05-01,2017,5,"d18O",-8.236211176
"111","AX1",2018-05-01,2018,5,"d18O",-8.080319412
"112","AX1",2019-05-01,2019,5,"d18O",-8.561674289
"113","AX1",2020-05-04,2020,5,"d18O",-8.449617704
"114","AX1",2017-06-01,2017,6,"d18O",-8.528270243
"115","AX1",2018-06-01,2018,6,"d18O",-8.725250866
"116","AX1",2019-06-01,2019,6,"d18O",-8.507747569
"117","AX1",2020-06-01,2020,6,"d18O",-8.694718843
"118","AX1",2021-06-01,2021,6,"d18O",-8.65
"119","AX1",2017-07-01,2017,7,"d18O",-8.596984502
"120","AX1",2018-07-01,2018,7,"d18O",-8.575730461
"121","AX1",2019-07-01,2019,7,"d18O",-8.51476349
"122","AX1",2020-07-01,2020,7,"d18O",-8.483621639
"123","AX1",2021-07-01,2021,7,"d18O",-8.61
"124","AX1",2017-08-01,2017,8,"d18O",-8.566598406
"125","AX1",2018-08-01,2018,8,"d18O",-8.660938474
"126","AX1",2020-08-01,2020,8,"d18O",-8.444540931
"127","AX1",2017-09-01,2017,9,"d18O",-8.440246445
"128","AX1",2018-09-01,2018,9,"d18O",-9.136673227
"129","AX1",2019-09-01,2019,9,"d18O",-8.715238876
"130","AX1",2020-09-01,2020,9,"d18O",-8.486031108
"131","AX1",2017-10-01,2017,10,"d18O",-8.670750232
"132","AX1",2018-10-01,2018,10,"d18O",-8.612607405
"133","AX1",2019-10-01,2019,10,"d18O",-8.6065843
"134","AX1",2020-10-01,2020,10,"d18O",-8.6
"135","AX1",2017-11-01,2017,11,"d18O",-8.617047182
"136","AX1",2018-11-01,2018,11,"d18O",-8.741243418
"137","AX1",2019-11-01,2019,11,"d18O",-8.528121208
"138","AX1",2020-11-01,2020,11,"d18O",-8.625193265
"139","AX1",2017-12-01,2017,12,"d18O",-8.738121859
"140","AX1",2018-12-01,2018,12,"d18O",-8.710962062
"141","AX1",2019-12-01,2019,12,"d18O",-8.605319776
"142","AX1",2020-12-01,2020,12,"d18O",-8.54
"143","AX2",2018-01-01,2018,1,"d18O",-8.816858683
"144","AX2",2019-01-01,2019,1,"d18O",-9.006096005
"145","AX2",2020-01-01,2020,1,"d18O",-8.955475624
"146","AX2",2021-01-01,2021,1,"d18O",-9.041585877
"147","AX2",2018-02-01,2018,2,"d18O",-8.809575791
"148","AX2",2019-02-01,2019,2,"d18O",-8.931887604
"149","AX2",2020-02-01,2020,2,"d18O",-8.83479245
"150","AX2",2021-02-01,2021,2,"d18O",-8.929967175
"151","AX2",2018-03-01,2018,3,"d18O",-8.708785136
"152","AX2",2019-03-01,2019,3,"d18O",-8.891537384
"153","AX2",2020-03-02,2020,3,"d18O",-8.795581331
"154","AX2",2017-04-01,2017,4,"d18O",-8.585623769
"155","AX2",2018-04-01,2018,4,"d18O",-8.928204322
"156","AX2",2019-04-01,2019,4,"d18O",-8.775418635
"157","AX2",2017-05-01,2017,5,"d18O",-8.718754894
"158","AX2",2018-05-01,2018,5,"d18O",-8.589561713
"159","AX2",2019-05-01,2019,5,"d18O",-9.044882721
"160","AX2",2020-05-04,2020,5,"d18O",-9.001590169
"161","AX2",2017-06-01,2017,6,"d18O",-9.144443706
"162","AX2",2018-06-01,2018,6,"d18O",-8.759322432
"163","AX2",2019-06-01,2019,6,"d18O",-8.994656711
"164","AX2",2020-06-01,2020,6,"d18O",-9.264550616
"165","AX2",2021-06-01,2021,6,"d18O",-10.2
"166","AX2",2017-07-01,2017,7,"d18O",-9.041561784
"167","AX2",2018-07-01,2018,7,"d18O",-8.993684913
"168","AX2",2019-07-01,2019,7,"d18O",-9.032509719
"169","AX2",2020-07-01,2020,7,"d18O",-9.122532073
"170","AX2",2021-07-01,2021,7,"d18O",-9.18
"171","AX2",2017-08-01,2017,8,"d18O",-9.038891668
"172","AX2",2018-08-01,2018,8,"d18O",-9.226262312
"173","AX2",2020-08-01,2020,8,"d18O",-9.046757042
"174","AX2",2017-09-01,2017,9,"d18O",-9.045737449
"175","AX2",2018-09-01,2018,9,"d18O",-9.352642664
"176","AX2",2019-09-01,2019,9,"d18O",-9.131680863
"177","AX2",2020-09-01,2020,9,"d18O",-9.243911447
"178","AX2",2017-10-01,2017,10,"d18O",-9.245147227
"179","AX2",2018-10-01,2018,10,"d18O",-9.205008226
"180","AX2",2019-10-01,2019,10,"d18O",-9.098892353
"181","AX2",2020-10-01,2020,10,"d18O",-9.22
"182","AX2",2017-11-01,2017,11,"d18O",-9.236668014
"183","AX2",2018-11-01,2018,11,"d18O",-9.306467906
"184","AX2",2019-11-01,2019,11,"d18O",-8.875359791
"185","AX2",2020-11-01,2020,11,"d18O",-9.148429131
"186","AX2",2017-12-01,2017,12,"d18O",-9.239287691
"187","AX2",2018-12-01,2018,12,"d18O",-9.150748419
"188","AX2",2019-12-01,2019,12,"d18O",-9.091925888
"189","AX2",2020-12-01,2020,12,"d18O",-8.93
"190","AX3",2018-01-01,2018,1,"d18O",-9.994174532
"191","AX3",2019-01-01,2019,1,"d18O",-10.34649829
"192","AX3",2020-01-01,2020,1,"d18O",-10.30079729
"193","AX3",2021-01-01,2021,1,"d18O",-10.5441684
"194","AX3",2018-02-01,2018,2,"d18O",-10.55487545
"195","AX3",2019-02-01,2019,2,"d18O",-10.35223601
"196","AX3",2020-02-01,2020,2,"d18O",-10.00286082
"197","AX3",2021-02-01,2021,2,"d18O",-10.26594659
"198","AX3",2018-03-01,2018,3,"d18O",-10.35983723
"199","AX3",2019-03-01,2019,3,"d18O",-10.3290103
"200","AX3",2020-03-02,2020,3,"d18O",-10.22736298
"201","AX3",2017-04-01,2017,4,"d18O",-9.772512048
"202","AX3",2018-04-01,2018,4,"d18O",-9.940054259
"203","AX3",2019-04-01,2019,4,"d18O",-10.3234437
"204","AX3",2017-05-01,2017,5,"d18O",-9.969203652
"205","AX3",2018-05-01,2018,5,"d18O",-10.29126347
"206","AX3",2019-05-01,2019,5,"d18O",-10.54218243
"207","AX3",2020-05-04,2020,5,"d18O",-10.40741935
"208","AX3",2017-06-01,2017,6,"d18O",-10.16646381
"209","AX3",2018-06-01,2018,6,"d18O",-10.44341771
"210","AX3",2019-06-01,2019,6,"d18O",-10.45417141
"211","AX3",2020-06-01,2020,6,"d18O",-10.55969654
"212","AX3",2021-06-01,2021,6,"d18O",-12.15
"213","AX3",2017-07-01,2017,7,"d18O",-10.46343426
"214","AX3",2018-07-01,2018,7,"d18O",-10.70231525
"215","AX3",2019-07-01,2019,7,"d18O",-10.47322836
"216","AX3",2020-07-01,2020,7,"d18O",-10.48120963
"217","AX3",2021-07-01,2021,7,"d18O",-10.97
"218","AX3",2017-08-01,2017,8,"d18O",-10.39459907
"219","AX3",2018-08-01,2018,8,"d18O",-10.76728726
"220","AX3",2020-08-01,2020,8,"d18O",-10.60329143
"221","AX3",2017-09-01,2017,9,"d18O",-10.35785715
"222","AX3",2018-09-01,2018,9,"d18O",-10.88823803
"223","AX3",2019-09-01,2019,9,"d18O",-10.21322875
"224","AX3",2020-09-01,2020,9,"d18O",-10.47120417
"225","AX3",2017-10-01,2017,10,"d18O",-10.75547344
"226","AX3",2018-10-01,2018,10,"d18O",-11.00054067
"227","AX3",2019-10-01,2019,10,"d18O",-10.6352995
"228","AX3",2020-10-01,2020,10,"d18O",-10.7
"229","AX3",2017-11-01,2017,11,"d18O",-10.72091143
"230","AX3",2018-11-01,2018,11,"d18O",-11.10189882
"231","AX3",2019-11-01,2019,11,"d18O",-10.10651576
"232","AX3",2020-11-01,2020,11,"d18O",-10.47362651
"233","AX3",2017-12-01,2017,12,"d18O",-10.25515887
"234","AX3",2018-12-01,2018,12,"d18O",-11.14458585
"235","AX3",2019-12-01,2019,12,"d18O",-10.81478544
"236","AX3",2020-12-01,2020,12,"d18O",-10.17
"237","AX4",2018-01-01,2018,1,"d18O",-8.520090298
"238","AX4",2019-01-01,2019,1,"d18O",-8.93871339
"239","AX4",2020-01-01,2020,1,"d18O",-8.812416486
"240","AX4",2021-01-01,2021,1,"d18O",-9.44280327
"241","AX4",2018-02-01,2018,2,"d18O",-8.724091726
"242","AX4",2019-02-01,2019,2,"d18O",-8.782345552
"243","AX4",2020-02-01,2020,2,"d18O",-8.78822162
"244","AX4",2021-02-01,2021,2,"d18O",-8.80773117
"245","AX4",2018-03-01,2018,3,"d18O",-8.872506782
"246","AX4",2019-03-01,2019,3,"d18O",-8.673653107
"247","AX4",2020-03-02,2020,3,"d18O",-8.708031372
"248","AX4",2017-04-01,2017,4,"d18O",-8.207179771
"249","AX4",2018-04-01,2018,4,"d18O",-8.350337018
"250","AX4",2019-04-01,2019,4,"d18O",-8.869698355
"251","AX4",2017-05-01,2017,5,"d18O",-8.60747374
"252","AX4",2018-05-01,2018,5,"d18O",-8.668256883
"253","AX4",2019-05-01,2019,5,"d18O",-8.878830325
"254","AX4",2020-05-04,2020,5,"d18O",-8.865097582
"255","AX4",2017-06-01,2017,6,"d18O",-9.009834538
"256","AX4",2018-06-01,2018,6,"d18O",-8.786516589
"257","AX4",2019-06-01,2019,6,"d18O",-8.992433381
"258","AX4",2020-06-01,2020,6,"d18O",-8.942639248
"259","AX4",2021-06-01,2021,6,"d18O",-9.01
"260","AX4",2017-07-01,2017,7,"d18O",-9.192710349
"261","AX4",2018-07-01,2018,7,"d18O",-9.157815931
"262","AX4",2019-07-01,2019,7,"d18O",-8.954430419
"263","AX4",2020-07-01,2020,7,"d18O",-9.02558551
"264","AX4",2021-07-01,2021,7,"d18O",-7.21
"265","AX4",2017-08-01,2017,8,"d18O",-9.466563211
"266","AX4",2018-08-01,2018,8,"d18O",-9.164425162
"267","AX4",2020-08-01,2020,8,"d18O",-9.093299282
"268","AX4",2017-09-01,2017,9,"d18O",-8.997004435
"269","AX4",2018-09-01,2018,9,"d18O",-8.779534286
"270","AX4",2019-09-01,2019,9,"d18O",-9.233478384
"271","AX4",2020-09-01,2020,9,"d18O",-9.071191761
"272","AX4",2017-10-01,2017,10,"d18O",-9.178815537
"273","AX4",2018-10-01,2018,10,"d18O",-9.239855333
"274","AX4",2019-10-01,2019,10,"d18O",-9.382096367
"275","AX4",2020-10-01,2020,10,"d18O",-8.98
"276","AX4",2017-11-01,2017,11,"d18O",-9.091830888
"277","AX4",2018-11-01,2018,11,"d18O",-6.956801327
"278","AX4",2019-11-01,2019,11,"d18O",-9.079581887
"279","AX4",2020-11-01,2020,11,"d18O",-8.992959048
"280","AX4",2017-12-01,2017,12,"d18O",-8.712677375
"281","AX4",2018-12-01,2018,12,"d18O",-9.313709634
"282","AX4",2019-12-01,2019,12,"d18O",-8.859700372
"283","AX4",2020-12-01,2020,12,"d18O",-8.71
"284","CH1",2018-01-01,2018,1,"d18O",-7.933605144
"285","CH1",2019-01-01,2019,1,"d18O",-8.069136469
"286","CH1",2020-01-01,2020,1,"d18O",-7.921327791
"287","CH1",2021-01-01,2021,1,"d18O",-7.988008934
"288","CH1",2018-02-01,2018,2,"d18O",-7.98528019
"289","CH1",2019-02-01,2019,2,"d18O",-7.962172634
"290","CH1",2020-02-01,2020,2,"d18O",-7.825224799
"291","CH1",2021-02-01,2021,2,"d18O",-8.142045909
"292","CH1",2018-03-01,2018,3,"d18O",-7.853284686
"293","CH1",2019-03-01,2019,3,"d18O",-8.018994344
"294","CH1",2020-03-02,2020,3,"d18O",-8.026420955
"295","CH1",2017-04-01,2017,4,"d18O",-8.154742396
"296","CH1",2019-04-01,2019,4,"d18O",-7.87916206
"297","CH1",2017-05-01,2017,5,"d18O",-8.121350804
"298","CH1",2018-05-01,2018,5,"d18O",-7.982438229
"299","CH1",2019-05-01,2019,5,"d18O",-8.138058869
"300","CH1",2020-05-04,2020,5,"d18O",-7.838735572
"301","CH1",2018-06-01,2018,6,"d18O",-8.487057124
"302","CH1",2019-06-01,2019,6,"d18O",-8.101282527
"303","CH1",2020-06-01,2020,6,"d18O",-8.435649115
"304","CH1",2021-06-01,2021,6,"d18O",-8.47
"305","CH1",2017-07-01,2017,7,"d18O",-8.546248899
"306","CH1",2018-07-01,2018,7,"d18O",-8.487054966
"307","CH1",2019-07-01,2019,7,"d18O",-8.225119521
"308","CH1",2020-07-01,2020,7,"d18O",-8.184431513
"309","CH1",2021-07-01,2021,7,"d18O",-8.31
"310","CH1",2017-08-01,2017,8,"d18O",-8.626122572
"311","CH1",2018-08-01,2018,8,"d18O",-7.714674361
"312","CH1",2019-08-01,2019,8,"d18O",-9.40028213
"313","CH1",2020-08-01,2020,8,"d18O",-8.262216766
"314","CH1",2017-09-01,2017,9,"d18O",-8.31273952
"315","CH1",2018-09-01,2018,9,"d18O",-8.636557714
"316","CH1",2019-09-01,2019,9,"d18O",-8.346674494
"317","CH1",2020-09-01,2020,9,"d18O",-8.291846839
"318","CH1",2017-10-01,2017,10,"d18O",-9.069611638
"319","CH1",2018-10-01,2018,10,"d18O",-8.394460486
"320","CH1",2019-10-01,2019,10,"d18O",-8.256897975
"321","CH1",2020-10-01,2020,10,"d18O",-8.14
"322","CH1",2017-11-01,2017,11,"d18O",-8.335544219
"323","CH1",2018-11-01,2018,11,"d18O",-8.319609375
"324","CH1",2019-11-01,2019,11,"d18O",-8.201964834
"325","CH1",2020-11-01,2020,11,"d18O",-8.168387345
"326","CH1",2017-12-01,2017,12,"d18O",-8.235604141
"327","CH1",2018-12-01,2018,12,"d18O",-8.237051348
"328","CH1",2019-12-01,2019,12,"d18O",-8.005319939
"329","CH1",2020-12-01,2020,12,"d18O",-7.93
"330","CH2",2018-01-01,2018,1,"d18O",-7.984493342
"331","CH2",2019-01-01,2019,1,"d18O",-8.085342415
"332","CH2",2020-01-01,2020,1,"d18O",-7.996292396
"333","CH2",2021-01-01,2021,1,"d18O",-8.095989894
"334","CH2",2018-02-01,2018,2,"d18O",-8.093301186
"335","CH2",2019-02-01,2019,2,"d18O",-7.811426216
"336","CH2",2020-02-01,2020,2,"d18O",-7.811433437
"337","CH2",2021-02-01,2021,2,"d18O",-7.873126697
"338","CH2",2018-03-01,2018,3,"d18O",-7.898539436
"339","CH2",2019-03-01,2019,3,"d18O",-8.030663124
"340","CH2",2020-03-02,2020,3,"d18O",-7.878305612
"341","CH2",2017-04-01,2017,4,"d18O",-8.121049018
"342","CH2",2019-04-01,2019,4,"d18O",-7.835417868
"343","CH2",2017-05-01,2017,5,"d18O",-8.086209386
"344","CH2",2018-05-01,2018,5,"d18O",-8.044874067
"345","CH2",2019-05-01,2019,5,"d18O",-8.069981427
"346","CH2",2020-05-04,2020,5,"d18O",-7.941438463
"347","CH2",2017-06-01,2017,6,"d18O",-8.373133178
"348","CH2",2018-06-01,2018,6,"d18O",-7.687095679
"349","CH2",2019-06-01,2019,6,"d18O",-8.154642433
"350","CH2",2020-06-01,2020,6,"d18O",-8.568427418
"351","CH2",2021-06-01,2021,6,"d18O",-8.52
"352","CH2",2017-07-01,2017,7,"d18O",-8.532794966
"353","CH2",2018-07-01,2018,7,"d18O",-8.71057416
"354","CH2",2019-07-01,2019,7,"d18O",-8.16874187
"355","CH2",2020-07-01,2020,7,"d18O",-8.361623759
"357","CH2",2017-08-01,2017,8,"d18O",-8.820590728
"358","CH2",2018-08-01,2018,8,"d18O",-8.460152806
"359","CH2",2019-08-01,2019,8,"d18O",-9.642617168
"360","CH2",2020-08-01,2020,8,"d18O",-8.369263917
"361","CH2",2017-09-01,2017,9,"d18O",-8.462610226
"362","CH2",2018-09-01,2018,9,"d18O",-8.683324025
"363","CH2",2019-09-01,2019,9,"d18O",-8.413507847
"364","CH2",2020-09-01,2020,9,"d18O",-8.332970573
"365","CH2",2017-10-01,2017,10,"d18O",-9.043235634
"366","CH2",2018-10-01,2018,10,"d18O",-8.290926307
"367","CH2",2019-10-01,2019,10,"d18O",-8.261488337
"368","CH2",2020-10-01,2020,10,"d18O",-8.2
"369","CH2",2017-11-01,2017,11,"d18O",-8.652727364
"370","CH2",2018-11-01,2018,11,"d18O",-8.245157971
"371","CH2",2019-11-01,2019,11,"d18O",-8.197260757
"372","CH2",2020-11-01,2020,11,"d18O",-8.386085479
"373","CH2",2017-12-01,2017,12,"d18O",-8.154906396
"374","CH2",2018-12-01,2018,12,"d18O",-8.156615363
"375","CH2",2019-12-01,2019,12,"d18O",-7.89474595
"376","CH2",2020-12-01,2020,12,"d18O",-7.97
"377","CH3",2018-01-01,2018,1,"d18O",-8.851861602
"378","CH3",2019-01-01,2019,1,"d18O",-8.908007388
"379","CH3",2020-01-01,2020,1,"d18O",-8.627126615
"380","CH3",2021-01-01,2021,1,"d18O",-8.850839849
"381","CH3",2018-02-01,2018,2,"d18O",-9.170843961
"382","CH3",2019-02-01,2019,2,"d18O",-8.728550559
"383","CH3",2020-02-01,2020,2,"d18O",-8.525186374
"384","CH3",2021-02-01,2021,2,"d18O",-8.851449913
"385","CH3",2018-03-01,2018,3,"d18O",-8.841507196
"386","CH3",2019-03-01,2019,3,"d18O",-8.770423501
"387","CH3",2020-03-02,2020,3,"d18O",-8.664256392
"388","CH3",2017-04-01,2017,4,"d18O",-8.759299522
"389","CH3",2018-04-01,2018,4,"d18O",-8.599618861
"390","CH3",2019-04-01,2019,4,"d18O",-8.637794213
"391","CH3",2017-05-01,2017,5,"d18O",-8.855415961
"392","CH3",2018-05-01,2018,5,"d18O",-8.877026715
"393","CH3",2019-05-01,2019,5,"d18O",-8.68550655
"395","CH3",2017-06-01,2017,6,"d18O",-8.980315936
"396","CH3",2018-06-01,2018,6,"d18O",-9.28086751
"397","CH3",2019-06-01,2019,6,"d18O",-9.094908655
"398","CH3",2020-06-01,2020,6,"d18O",-9.115149685
"399","CH3",2021-06-01,2021,6,"d18O",-9.45
"400","CH3",2017-07-01,2017,7,"d18O",-9.369965908
"401","CH3",2018-07-01,2018,7,"d18O",-9.456994033
"402","CH3",2019-07-01,2019,7,"d18O",-8.913446665
"403","CH3",2020-07-01,2020,7,"d18O",-8.935156364
"405","CH3",2017-08-01,2017,8,"d18O",-9.813562042
"406","CH3",2018-08-01,2018,8,"d18O",-9.399852631
"407","CH3",2019-08-01,2019,8,"d18O",-10.60224497
"408","CH3",2020-08-01,2020,8,"d18O",-8.983621482
"409","CH3",2017-09-01,2017,9,"d18O",-9.352822192
"410","CH3",2018-09-01,2018,9,"d18O",-9.498138418
"411","CH3",2019-09-01,2019,9,"d18O",-9.193701433
"412","CH3",2020-09-01,2020,9,"d18O",-8.756845946
"413","CH3",2017-10-01,2017,10,"d18O",-9.755496536
"414","CH3",2018-10-01,2018,10,"d18O",-9.104495472
"415","CH3",2019-10-01,2019,10,"d18O",-9.013509346
"416","CH3",2020-10-01,2020,10,"d18O",-8.73
"417","CH3",2017-11-01,2017,11,"d18O",-9.532070394
"418","CH3",2018-11-01,2018,11,"d18O",-8.938771557
"419","CH3",2019-11-01,2019,11,"d18O",-8.624718143
"420","CH3",2020-11-01,2020,11,"d18O",-8.758853517
"421","CH3",2017-12-01,2017,12,"d18O",-9.180837253
"422","CH3",2018-12-01,2018,12,"d18O",-9.063696488
"423","CH3",2019-12-01,2019,12,"d18O",-8.534815233
"424","CH3",2020-12-01,2020,12,"d18O",-8.48
"425","CH4",2018-01-01,2018,1,"d18O",-8.632426508
"426","CH4",2019-01-01,2019,1,"d18O",-8.72952875
"427","CH4",2020-01-01,2020,1,"d18O",-8.61965036
"428","CH4",2021-01-01,2021,1,"d18O",-8.63345445
"429","CH4",2018-02-01,2018,2,"d18O",-9.127168805
"430","CH4",2019-02-01,2019,2,"d18O",-8.3068219
"431","CH4",2020-02-01,2020,2,"d18O",-8.266948123
"432","CH4",2021-02-01,2021,2,"d18O",-8.591563531
"433","CH4",2018-03-01,2018,3,"d18O",-8.863974093
"434","CH4",2019-03-01,2019,3,"d18O",-8.543888232
"435","CH4",2020-03-02,2020,3,"d18O",-8.282474604
"436","CH4",2017-04-01,2017,4,"d18O",-8.681232303
"437","CH4",2018-04-01,2018,4,"d18O",-8.376338919
"438","CH4",2019-04-01,2019,4,"d18O",-8.355953779
"439","CH4",2017-05-01,2017,5,"d18O",-8.776998539
"440","CH4",2018-05-01,2018,5,"d18O",-8.866295555
"441","CH4",2019-05-01,2019,5,"d18O",-8.647124609
"442","CH4",2020-05-04,2020,5,"d18O",-8.617899281
"443","CH4",2017-06-01,2017,6,"d18O",-9.074006095
"444","CH4",2018-06-01,2018,6,"d18O",-8.924106072
"445","CH4",2019-06-01,2019,6,"d18O",-8.855395441
"446","CH4",2020-06-01,2020,6,"d18O",-9.063660083
"448","CH4",2017-07-01,2017,7,"d18O",-9.367275122
"449","CH4",2018-07-01,2018,7,"d18O",-9.409402139
"450","CH4",2019-07-01,2019,7,"d18O",-8.87486196
"451","CH4",2020-07-01,2020,7,"d18O",-8.896662876
"453","CH4",2017-08-01,2017,8,"d18O",-9.697219354
"454","CH4",2018-08-01,2018,8,"d18O",-9.335279676
"455","CH4",2019-08-01,2019,8,"d18O",-10.34166966
"456","CH4",2020-08-01,2020,8,"d18O",-8.954684351
"457","CH4",2017-09-01,2017,9,"d18O",-9.274382067
